data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00480	0.70707	0.74	0.78788	0.71186	0.75	0.77477	0.76437	0.7451	0.79333	0.83838	0.79333	0.81982	0.71717	0.77778	0.84127	0.78014	0.76471	0.79365	0.76068	0.71717	0.76101	0.7619	0.77236	0.72549	0.78788	0.78912	0.76329	0.74747	0.77778	0.78788	0.78431	0.75238	0.71296	0.74747	0.71717	0.84848	0.71717	0.77564	0.76503	0.76577	0.76768	0.80808	0.76768	0.77778	1.0	0.73737	0.73737	0.75758	0.77778	0.77778	0.73333	0.76023	0.68687	0.71717	0.81667	0.80808	0.73737	0.72222	0.77778	0.72727	
D00495	0.74603	0.75333	0.76515	0.71751	0.79167	0.73874	0.76437	0.7451	0.73333	0.70238	0.76667	0.75676	0.75758	0.77381	0.7619	0.76596	0.7549	0.7619	0.76068	0.84127	0.76101	0.7619	0.7561	0.7451	0.77273	0.76871	0.73913	0.73563	0.83333	0.75758	0.73529	0.73333	0.78704	0.7957	0.87302	0.75	0.74713	0.76923	0.74863	0.75676	0.76768	0.76768	0.82051	0.8046	0.73737	1.0	0.87356	0.7619	0.74747	0.73563	0.75238	0.75439	0.76923	0.80952	0.75	0.74194	0.77778	0.75	0.70833	0.93651	
D00499	0.73563	0.76667	0.77273	0.73446	0.81667	0.72072	0.75862	0.71569	0.73333	0.71264	0.78667	0.76577	0.75758	0.7931	0.75397	0.79433	0.7549	0.78571	0.76068	0.81609	0.79874	0.79762	0.78049	0.76471	0.78788	0.78231	0.75362	0.70115	0.7931	0.77273	0.71569	0.70476	0.80556	0.78495	0.81609	0.75	0.70115	0.78205	0.78689	0.72973	0.74747	0.75758	0.7931	0.8046	0.73737	0.87356	1.0	0.75862	0.73737	0.72414	0.75238	0.77193	0.77011	0.7931	0.75	0.73118	0.75862	0.76111	0.72414	0.8046	
D00504	0.79365	0.78	0.78788	0.71751	0.775	0.75676	0.75287	0.7451	0.74667	0.84524	0.78	0.77477	0.80808	0.7381	0.79365	0.79433	0.78431	0.79365	0.82051	0.77778	0.76101	0.7619	0.79675	0.80392	0.77273	0.78912	0.74879	0.7931	0.87179	0.79545	0.78431	0.72381	0.77778	0.80645	0.74603	0.79167	0.73563	0.78205	0.76503	0.8018	0.78788	0.75758	0.88462	0.85057	0.75758	0.7619	0.75862	1.0	0.81818	0.83908	0.8	0.76608	0.73077	0.7619	0.775	0.86022	0.88889	0.72222	0.88889	0.77778	
D00512	0.74747	0.76	0.84091	0.71751	0.75	0.79279	0.75287	0.70588	0.78667	0.78788	0.77333	0.81081	0.77778	0.76768	0.84921	0.79433	0.78431	0.80952	0.78632	0.73737	0.77358	0.76786	0.80488	0.7549	0.77273	0.77551	0.75845	0.78788	0.80808	0.82576	0.84314	0.70476	0.75	0.82828	0.77778	0.83838	0.74747	0.76923	0.77049	0.77477	0.77778	0.78788	0.83838	0.78788	0.77778	0.74747	0.73737	0.81818	1.0	0.80808	0.75238	0.82456	0.71717	0.73737	0.80833	0.76768	0.81818	0.72778	0.80808	0.72727	
D00513	0.72414	0.75333	0.79545	0.74011	0.73333	0.78378	0.77011	0.72549	0.78667	0.7931	0.77333	0.81982	0.75758	0.72414	0.83333	0.77305	0.7549	0.77778	0.76923	0.77011	0.75472	0.7619	0.76423	0.7549	0.75758	0.78231	0.76329	0.74713	0.82759	0.82576	0.78431	0.71429	0.72222	0.78495	0.72414	0.85417	0.70115	0.77564	0.75956	0.8018	0.75758	0.76768	0.8046	0.78161	0.77778	0.73563	0.72414	0.83908	0.80808	1.0	0.73333	0.78947	0.68966	0.73563	0.8	0.77419	0.7931	0.75	0.81609	0.73563	
D00519	0.74286	0.74	0.77273	0.70056	0.78333	0.72072	0.75862	0.74286	0.73333	0.8	0.75333	0.75676	0.72381	0.78095	0.75397	0.79433	0.7619	0.7619	0.81197	0.71429	0.79245	0.78571	0.78049	0.87619	0.78788	0.7619	0.75362	0.7619	0.75238	0.7803	0.75238	0.72381	0.71296	0.73333	0.7619	0.74286	0.71429	0.77564	0.76503	0.8018	0.72381	0.79048	0.73333	0.71429	0.73333	0.75238	0.75238	0.8	0.75238	0.73333	1.0	0.76608	0.74286	0.75238	0.78333	0.79048	0.75238	0.72222	0.81905	0.74286	
D00521	0.7193	0.79532	0.77778	0.72881	0.79532	0.74269	0.74713	0.76023	0.78947	0.76608	0.80702	0.78363	0.79532	0.75439	0.81287	0.77193	0.82456	0.81287	0.78363	0.74854	0.78947	0.78947	0.81287	0.76608	0.77778	0.74854	0.80193	0.76608	0.77778	0.79532	0.77193	0.77778	0.74854	0.78947	0.73684	0.80117	0.74269	0.73684	0.7377	0.76608	0.78363	0.76023	0.79532	0.79532	0.76023	0.75439	0.77193	0.76608	0.82456	0.78947	0.76608	1.0	0.73684	0.74854	0.76608	0.78363	0.78363	0.73333	0.74854	0.74269	
D00524	0.74359	0.74667	0.73485	0.72881	0.74167	0.71171	0.75287	0.71569	0.72	0.70238	0.75333	0.72072	0.71717	0.7381	0.73016	0.75887	0.72549	0.75397	0.71795	0.76923	0.72956	0.7381	0.74797	0.71569	0.75758	0.7483	0.72947	0.70115	0.70513	0.74242	0.72549	0.73333	0.73148	0.74194	0.78205	0.71875	0.71264	0.75	0.74317	0.72072	0.70707	0.73737	0.69231	0.74713	0.68687	0.76923	0.77011	0.73077	0.71717	0.68966	0.74286	0.73684	1.0	0.72619	0.71667	0.70968	0.71605	0.75	0.67949	0.78205	
D00528	0.72619	0.74667	0.76515	0.72881	0.79167	0.79279	0.78161	0.76471	0.76667	0.72619	0.78667	0.76577	0.79798	0.79762	0.74603	0.75887	0.7549	0.77778	0.76923	0.75	0.78616	0.76786	0.76423	0.7549	0.7803	0.7483	0.74396	0.78161	0.77381	0.75758	0.7451	0.7619	0.80556	0.76344	0.79762	0.75	0.73563	0.74359	0.74317	0.75676	0.78788	0.75758	0.7619	0.77011	0.71717	0.80952	0.7931	0.7619	0.73737	0.73563	0.75238	0.74854	0.72619	1.0	0.74167	0.75269	0.7381	0.74444	0.75	0.78571	
D00530	0.725	0.72667	0.79545	0.71186	0.75	0.79167	0.76437	0.74167	0.76667	0.8	0.76667	0.8	0.74167	0.775	0.8254	0.76596	0.775	0.77778	0.78333	0.725	0.77358	0.77381	0.74797	0.775	0.75758	0.76871	0.76329	0.775	0.80833	0.78788	0.80833	0.73333	0.70833	0.8	0.75	0.825	0.71667	0.76282	0.77596	0.76667	0.78333	0.79167	0.8	0.775	0.81667	0.75	0.75	0.775	0.80833	0.8	0.78333	0.76608	0.71667	0.74167	1.0	0.79167	0.76667	0.72222	0.78333	0.73333	
D00533	0.75269	0.80667	0.79545	0.71751	0.79167	0.78378	0.77011	0.76471	0.76667	0.95699	0.81333	0.8018	0.81818	0.7957	0.75397	0.77305	0.80392	0.86508	0.82906	0.75269	0.77358	0.76786	0.86179	0.81373	0.79545	0.77551	0.78261	0.73118	0.78495	0.82576	0.79412	0.7619	0.72222	0.77419	0.72043	0.875	0.70968	0.76923	0.75956	0.78378	0.80808	0.79798	0.80645	0.77419	0.80808	0.74194	0.73118	0.86022	0.76768	0.77419	0.79048	0.78363	0.70968	0.75269	0.79167	1.0	0.83871	0.72222	0.82796	0.75269	
D00536	0.76543	0.80667	0.79545	0.72316	0.78333	0.76577	0.75287	0.73529	0.75333	0.82143	0.78667	0.77477	0.81818	0.7381	0.81746	0.80851	0.80392	0.8254	0.82906	0.81481	0.7673	0.7619	0.82114	0.79412	0.76515	0.80272	0.77295	0.77011	0.81481	0.80303	0.78431	0.71429	0.75	0.8172	0.77778	0.78125	0.72414	0.79487	0.77596	0.75676	0.81818	0.74747	0.83951	0.82759	0.73737	0.77778	0.75862	0.88889	0.81818	0.7931	0.75238	0.78363	0.71605	0.7381	0.76667	0.83871	1.0	0.75	0.82716	0.76543	
D00537	0.73889	0.76667	0.75	0.75556	0.76111	0.73333	0.71667	0.73333	0.72222	0.71111	0.74444	0.73333	0.72778	0.73333	0.76111	0.75	0.73889	0.73889	0.73889	0.75556	0.75	0.74444	0.73333	0.73333	0.74444	0.73333	0.76329	0.71667	0.75	0.73889	0.72778	0.73333	0.75556	0.76667	0.76111	0.72778	0.72778	0.73333	0.72678	0.73889	0.72778	0.72222	0.73889	0.74444	0.72222	0.75	0.76111	0.72222	0.72778	0.75	0.72222	0.73333	0.75	0.74444	0.72222	0.72222	0.75	1.0	0.71667	0.73333	
D00538	0.75	0.76	0.76515	0.70056	0.75	0.75676	0.75862	0.71569	0.75333	0.84524	0.75333	0.79279	0.77778	0.71429	0.77778	0.76596	0.76471	0.76984	0.83761	0.73611	0.74843	0.74405	0.76423	0.82353	0.73485	0.76871	0.74396	0.78161	0.82051	0.79545	0.76471	0.71429	0.75926	0.80645	0.72222	0.80208	0.70115	0.75641	0.74317	0.81982	0.77778	0.76768	0.82051	0.77011	0.77778	0.70833	0.72414	0.88889	0.80808	0.81609	0.81905	0.74854	0.67949	0.75	0.78333	0.82796	0.82716	0.71667	1.0	0.70833	
D00539	0.72222	0.74667	0.75758	0.72316	0.775	0.72072	0.74713	0.72549	0.73333	0.71429	0.76	0.75676	0.76768	0.77381	0.7619	0.75177	0.7451	0.76984	0.75214	0.82456	0.75472	0.75595	0.76423	0.7451	0.75758	0.7619	0.72464	0.71264	0.82051	0.75	0.73529	0.73333	0.76852	0.77419	0.81667	0.76042	0.73563	0.76282	0.74317	0.72072	0.76768	0.76768	0.82051	0.81609	0.72727	0.93651	0.8046	0.77778	0.72727	0.73563	0.74286	0.74269	0.78205	0.78571	0.73333	0.75269	0.76543	0.73333	0.70833	1.0	
